Instance,Evaluations,Best Fitness
instance_10_hard.json,9350,390
instance_10_hard.json,9400,390
instance_10_hard.json,9450,390
instance_10_hard.json,9500,390
instance_10_hard.json,9550,390
instance_10_hard.json,9600,390
instance_10_hard.json,9650,390
instance_10_hard.json,9700,390
instance_10_hard.json,9750,390
instance_10_hard.json,9800,390
instance_10_hard.json,9850,390
instance_10_hard.json,9900,390
instance_10_hard.json,9950,390
instance_10_hard.json,10000,390
instance_1_easy.json,50,202
instance_1_easy.json,100,240
instance_1_easy.json,150,245
instance_1_easy.json,200,285
instance_1_easy.json,250,285
instance_1_easy.json,300,295
instance_1_easy.json,350,315
instance_1_easy.json,400,315
instance_1_easy.json,450,315
instance_1_easy.json,500,315
instance_1_easy.json,550,315
instance_1_easy.json,600,315
instance_1_easy.json,650,315
instance_1_easy.json,700,315
instance_1_easy.json,750,315
instance_1_easy.json,800,320
instance_1_easy.json,850,320
instance_1_easy.json,900,320
instance_1_easy.json,950,320
instance_1_easy.json,1000,320
instance_1_easy.json,1050,320
instance_1_easy.json,1100,320
instance_1_easy.json,1150,320
instance_1_easy.json,1200,320
instance_1_easy.json,1250,320
instance_1_easy.json,1300,320
instance_1_easy.json,1350,320
instance_1_easy.json,1400,320
instance_1_easy.json,1450,320
instance_1_easy.json,1500,320
instance_1_easy.json,1550,320
instance_1_easy.json,1600,320
instance_1_easy.json,1650,320
instance_1_easy.json,1700,320
instance_1_easy.json,1750,320
instance_1_easy.json,1800,320
instance_1_easy.json,1850,320
instance_1_easy.json,1900,320
instance_1_easy.json,1950,320
instance_1_easy.json,2000,320
instance_1_easy.json,2050,320
instance_1_easy.json,2100,320
instance_1_easy.json,2150,320
instance_1_easy.json,2200,320
instance_1_easy.json,2250,320
instance_1_easy.json,2300,320
instance_1_easy.json,2350,320
instance_1_easy.json,2400,320
instance_1_easy.json,2450,320
instance_1_easy.json,2500,320
instance_1_easy.json,2550,320
instance_1_easy.json,2600,320
instance_1_easy.json,2650,320
instance_1_easy.json,2700,320
instance_1_easy.json,2750,320
instance_1_easy.json,2800,320
instance_1_easy.json,2850,320
instance_1_easy.json,2900,320
instance_1_easy.json,2950,320
instance_1_easy.json,3000,320
instance_1_easy.json,3050,320
instance_1_easy.json,3100,320
instance_1_easy.json,3150,320
instance_1_easy.json,3200,320
instance_1_easy.json,3250,320
instance_1_easy.json,3300,320
instance_1_easy.json,3350,320
instance_1_easy.json,3400,320
instance_1_easy.json,3450,320
instance_1_easy.json,3500,320
instance_1_easy.json,3550,320
instance_1_easy.json,3600,320
instance_1_easy.json,3650,320
instance_1_easy.json,3700,320
instance_1_easy.json,3750,320
instance_1_easy.json,3800,320
instance_1_easy.json,3850,320
instance_1_easy.json,3900,320
instance_1_easy.json,3950,320
instance_1_easy.json,4000,320
instance_1_easy.json,4050,320
instance_1_easy.json,4100,320
instance_1_easy.json,4150,320
instance_1_easy.json,4200,320
instance_1_easy.json,4250,320
instance_1_easy.json,4300,320
instance_1_easy.json,4350,320
instance_1_easy.json,4400,320
instance_1_easy.json,4450,320
instance_1_easy.json,4500,320
instance_1_easy.json,4550,320
instance_1_easy.json,4600,320
instance_1_easy.json,4650,320
instance_1_easy.json,4700,320
instance_1_easy.json,4750,320
instance_1_easy.json,4800,320
instance_1_easy.json,4850,320
instance_1_easy.json,4900,320
instance_1_easy.json,4950,320
instance_1_easy.json,5000,320
instance_1_easy.json,5050,320
instance_1_easy.json,5100,320
instance_1_easy.json,5150,320
instance_1_easy.json,5200,320
instance_1_easy.json,5250,320
instance_1_easy.json,5300,320
instance_1_easy.json,5350,320
instance_1_easy.json,5400,320
instance_1_easy.json,5450,320
instance_1_easy.json,5500,320
instance_1_easy.json,5550,320
instance_1_easy.json,5600,320
instance_1_easy.json,5650,320
instance_1_easy.json,5700,320
instance_1_easy.json,5750,320
instance_1_easy.json,5800,320
instance_1_easy.json,5850,320
instance_1_easy.json,5900,320
instance_1_easy.json,5950,320
instance_1_easy.json,6000,320
instance_1_easy.json,6050,320
instance_1_easy.json,6100,320
instance_1_easy.json,6150,320
instance_1_easy.json,6200,320
instance_1_easy.json,6250,320
instance_1_easy.json,6300,320
instance_1_easy.json,6350,320
instance_1_easy.json,6400,320
instance_1_easy.json,6450,320
instance_1_easy.json,6500,320
instance_1_easy.json,6550,320
instance_1_easy.json,6600,320
instance_1_easy.json,6650,320
instance_1_easy.json,6700,320
instance_1_easy.json,6750,320
instance_1_easy.json,6800,320
instance_1_easy.json,6850,320
instance_1_easy.json,6900,320
instance_1_easy.json,6950,320
instance_1_easy.json,7000,320
instance_1_easy.json,7050,320
instance_1_easy.json,7100,320
instance_1_easy.json,7150,320
instance_1_easy.json,7200,320
instance_1_easy.json,7250,320
instance_1_easy.json,7300,320
instance_1_easy.json,7350,320
instance_1_easy.json,7400,320
instance_1_easy.json,7450,320
instance_1_easy.json,7500,320
instance_1_easy.json,7550,320
instance_1_easy.json,7600,320
instance_1_easy.json,7650,320
instance_1_easy.json,7700,320
instance_1_easy.json,7750,320
instance_1_easy.json,7800,320
instance_1_easy.json,7850,320
instance_1_easy.json,7900,320
instance_1_easy.json,7950,320
instance_1_easy.json,8000,320
instance_1_easy.json,8050,320
instance_1_easy.json,8100,320
instance_1_easy.json,8150,320
instance_1_easy.json,8200,320
instance_1_easy.json,8250,320
instance_1_easy.json,8300,320
instance_1_easy.json,8350,320
instance_1_easy.json,8400,320
