Instance,Evaluations,Best Fitness
instance_10_hard.json,9450,410
instance_10_hard.json,9500,410
instance_10_hard.json,9550,410
instance_10_hard.json,9600,410
instance_10_hard.json,9650,410
instance_10_hard.json,9700,410
instance_10_hard.json,9750,410
instance_10_hard.json,9800,410
instance_10_hard.json,9850,410
instance_10_hard.json,9900,410
instance_10_hard.json,9950,410
instance_10_hard.json,10000,410
instance_1_easy.json,50,240
instance_1_easy.json,100,240
instance_1_easy.json,150,250
instance_1_easy.json,200,270
instance_1_easy.json,250,280
instance_1_easy.json,300,280
instance_1_easy.json,350,285
instance_1_easy.json,400,285
instance_1_easy.json,450,285
instance_1_easy.json,500,295
instance_1_easy.json,550,295
instance_1_easy.json,600,295
instance_1_easy.json,650,295
instance_1_easy.json,700,295
instance_1_easy.json,750,315
instance_1_easy.json,800,315
instance_1_easy.json,850,315
instance_1_easy.json,900,315
instance_1_easy.json,950,315
instance_1_easy.json,1000,315
instance_1_easy.json,1050,315
instance_1_easy.json,1100,315
instance_1_easy.json,1150,320
instance_1_easy.json,1200,320
instance_1_easy.json,1250,320
instance_1_easy.json,1300,320
instance_1_easy.json,1350,320
instance_1_easy.json,1400,320
instance_1_easy.json,1450,320
instance_1_easy.json,1500,320
instance_1_easy.json,1550,320
instance_1_easy.json,1600,320
instance_1_easy.json,1650,320
instance_1_easy.json,1700,320
instance_1_easy.json,1750,320
instance_1_easy.json,1800,320
instance_1_easy.json,1850,320
instance_1_easy.json,1900,320
instance_1_easy.json,1950,320
instance_1_easy.json,2000,320
instance_1_easy.json,2050,320
instance_1_easy.json,2100,320
instance_1_easy.json,2150,320
instance_1_easy.json,2200,320
instance_1_easy.json,2250,320
instance_1_easy.json,2300,320
instance_1_easy.json,2350,320
instance_1_easy.json,2400,320
instance_1_easy.json,2450,320
instance_1_easy.json,2500,320
instance_1_easy.json,2550,320
instance_1_easy.json,2600,320
instance_1_easy.json,2650,320
instance_1_easy.json,2700,320
instance_1_easy.json,2750,320
instance_1_easy.json,2800,320
instance_1_easy.json,2850,320
instance_1_easy.json,2900,320
instance_1_easy.json,2950,320
instance_1_easy.json,3000,320
instance_1_easy.json,3050,320
instance_1_easy.json,3100,320
instance_1_easy.json,3150,320
instance_1_easy.json,3200,320
instance_1_easy.json,3250,320
instance_1_easy.json,3300,320
instance_1_easy.json,3350,320
instance_1_easy.json,3400,320
instance_1_easy.json,3450,320
instance_1_easy.json,3500,320
instance_1_easy.json,3550,320
instance_1_easy.json,3600,320
instance_1_easy.json,3650,320
instance_1_easy.json,3700,320
instance_1_easy.json,3750,320
instance_1_easy.json,3800,320
instance_1_easy.json,3850,320
instance_1_easy.json,3900,320
instance_1_easy.json,3950,320
instance_1_easy.json,4000,320
instance_1_easy.json,4050,320
instance_1_easy.json,4100,320
instance_1_easy.json,4150,320
instance_1_easy.json,4200,320
instance_1_easy.json,4250,320
instance_1_easy.json,4300,320
instance_1_easy.json,4350,320
instance_1_easy.json,4400,320
instance_1_easy.json,4450,320
instance_1_easy.json,4500,320
instance_1_easy.json,4550,320
instance_1_easy.json,4600,320
instance_1_easy.json,4650,320
instance_1_easy.json,4700,320
instance_1_easy.json,4750,320
instance_1_easy.json,4800,320
instance_1_easy.json,4850,320
instance_1_easy.json,4900,320
instance_1_easy.json,4950,320
instance_1_easy.json,5000,320
instance_1_easy.json,5050,320
instance_1_easy.json,5100,320
instance_1_easy.json,5150,320
instance_1_easy.json,5200,320
instance_1_easy.json,5250,320
instance_1_easy.json,5300,320
instance_1_easy.json,5350,320
instance_1_easy.json,5400,320
instance_1_easy.json,5450,320
instance_1_easy.json,5500,320
instance_1_easy.json,5550,320
instance_1_easy.json,5600,320
instance_1_easy.json,5650,320
instance_1_easy.json,5700,320
instance_1_easy.json,5750,320
instance_1_easy.json,5800,320
instance_1_easy.json,5850,320
instance_1_easy.json,5900,320
instance_1_easy.json,5950,320
instance_1_easy.json,6000,320
instance_1_easy.json,6050,320
instance_1_easy.json,6100,320
instance_1_easy.json,6150,320
instance_1_easy.json,6200,320
instance_1_easy.json,6250,320
instance_1_easy.json,6300,320
instance_1_easy.json,6350,320
instance_1_easy.json,6400,320
instance_1_easy.json,6450,320
instance_1_easy.json,6500,320
instance_1_easy.json,6550,320
instance_1_easy.json,6600,320
instance_1_easy.json,6650,320
